Type of split	Corpus	Model	Convergence	Fractional polynomial variant	True positives (train)	True negatives (train)	False positives (train)	False negatives (train)	True positives (test)	True negatives (test)	False positives (test)	False negatives (test)	AIC
non_consecutive	svt	I	yes	2	0	73768	0	22272	0	18349	0	5611	104026
non_consecutive	svt	I	yes	3	0	73768	0	22272	0	18349	0	5611	104026
non_consecutive	svt	II	yes	0	0	73768	0	22272	0	18349	0	5611	99257
non_consecutive	svt	II	yes	1	0	73768	0	22272	0	18349	0	5611	99223
non_consecutive	svt	II	yes	2	0	73768	0	22272	0	18349	0	5611	99216
non_consecutive	svt	II	yes	3	0	73768	0	22272	0	18349	0	5611	99210
non_consecutive	svt	III	yes	0	848	73038	730	21424	235	18167	182	5376	97380
non_consecutive	svt	III	yes	1	746	73153	615	21526	191	18203	146	5420	97351
non_consecutive	svt	III	yes	2	693	73185	583	21579	180	18214	135	5431	97346
non_consecutive	svt	III	yes	3	619	73256	512	21653	164	18228	121	5447	97339
non_consecutive	svt	IV	yes	0	765	73109	659	21507	205	18201	148	5406	97362
non_consecutive	svt	IV	yes	1	628	73257	511	21644	167	18225	124	5444	97330
non_consecutive	svt	IV	yes	2	701	73199	569	21571	185	18218	131	5426	97330
non_consecutive	svt	IV	no	3									
non_consecutive	synthetic	I	yes	0	882731	0	558074	0	219859	0	139336	0	1923595
non_consecutive	synthetic	I	yes	1	882731	0	558074	0	219859	0	139336	0	1923595
non_consecutive	synthetic	I	yes	2	882731	0	558074	0	219859	0	139336	0	1923595
non_consecutive	synthetic	I	yes	3	882731	0	558074	0	219859	0	139336	0	1923595
non_consecutive	synthetic	II	yes	0	882731	0	558074	0	219859	0	139336	0	1906109
non_consecutive	synthetic	II	yes	1	868963	22468	535606	13768	216352	5586	133750	3507	1902643
non_consecutive	synthetic	II	yes	2	811503	88833	469241	71228	202166	22246	117090	17693	1894728
non_consecutive	synthetic	II	yes	3	808826	91551	466523	73905	201469	22921	116415	18390	1894003
non_consecutive	synthetic	III	yes	0	882513	279321	278753	218	219815	69552	69784	44	1253778
non_consecutive	synthetic	III	yes	1	881770	280186	277888	961	219609	69783	69553	250	1251499
non_consecutive	synthetic	III	yes	2	879318	282818	275256	3413	219036	70395	68941	823	1246711
non_consecutive	synthetic	III	yes	3	878586	283598	274476	4145	218865	70578	68758	994	1246304
non_consecutive	synthetic	IV	yes	0	882731	279043	279031	0	219859	69488	69848	0	1253362
non_consecutive	synthetic	IV	yes	1	882726	279055	279019	5	219857	69488	69848	2	1251065
non_consecutive	synthetic	IV	yes	2	880755	281393	276681	1976	219369	70061	69275	490	1246269
non_consecutive	synthetic	IV	no	3									
non_consecutive	twitter	I	yes	0	31985	0	15899	0	8071	0	4045	0	60873
non_consecutive	twitter	I	yes	1	31985	0	15899	0	8071	0	4045	0	60873
non_consecutive	twitter	I	yes	2	31985	0	15899	0	8071	0	4045	0	60873
non_consecutive	twitter	I	yes	3	31985	0	15899	0	8071	0	4045	0	60873
non_consecutive	twitter	II	yes	0	31985	0	15899	0	8071	0	4045	0	60830
non_consecutive	twitter	II	yes	1	31985	0	15899	0	8071	0	4045	0	60817
non_consecutive	twitter	II	yes	2	31985	0	15899	0	8071	0	4045	0	60620
non_consecutive	twitter	II	no	3									
non_consecutive	twitter	III	yes	0	30964	1092	14807	1021	7829	275	3770	242	59068
non_consecutive	twitter	III	yes	1	30957	1096	14803	1028	7832	280	3765	239	59051
non_consecutive	twitter	III	yes	2	30910	1143	14756	1075	7810	307	3738	261	58857
non_consecutive	twitter	III	no	3									
non_consecutive	twitter	IV	yes	0	30957	1092	14807	1028	7828	275	3770	243	59074
non_consecutive	twitter	IV	yes	1	30951	1099	14800	1034	7830	280	3765	241	59057
non_consecutive	twitter	IV	yes	2	30770	1307	14592	1215	7786	338	3707	285	58877
non_consecutive	twitter	IV	no	3									
